	"Wild 24h"				"Wild 56h"				"Wild 80h"				"Aposymbiotic 24h"				"Aposymbiotic 56h"				"Aposymbiotic 80h"				"Aposymbiotic 92h"			
"Match ID"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"
67	0.33815	0.359798	0.411505	0.573124	0.465803	1.09608	1.31093	0.629899	1.19031	0.569818	0.350703	1.1485	0.580693	1.33808	1.07982	1.15574	0.952433	1.20142	1.16198	1.51242	1.47407	1.49928	1.54914	1.28828	1.1821	1.38636	1.11539	
68	0.277783	0.211467	0.253001	0.218842	0.305027	0.201031	1.01278	0.778235	0.428276	0.640942	0.342582	0.556254	0.445334	0.509012	0.652504	0.914219	0.373733	0.590503	0.782187	0.779338	0.513581	0.503345	0.357185					
69	0.448261	1.35498	0.475749	0.844957	0.559476	0.619299	0.610589	1.05909	1.39291	0.537097	1.3805	1.3713	0.663624	0.679361	0.673271	0.635031	0.437701											
70	0.325073	0.238287	0.293425	0.259458	0.297192	0.273382	0.342991	0.826567	1.03289	0.597289	0.731967	0.491163	0.491365	0.906643	1.02451	0.622853	0.440115											
71	1.19742	1.16765	0.937891	1.38251	1.89677	1.50676	1.47629	1.84644	2.08742	1.82067	1.46878	2.04772	0.705489	0.86391	0.742984	0.804503	0.996356	1.11092	1.17603	1.15447	0.672879	0.666117	0.583437	0.641631	0.384308	0.398333	0.415365	0.32353
72	0.228073	0.139971	0.16434	0.30051	0.222711	0.305776	0.279205	0.35541	0.256427	0.194454	0.214183	0.250819	0.511023	0.438621	0.372362	0.405249	0.336582	0.340551	0.377326	0.235886	0.248397	0.245295						
73	0.661674	0.66083	0.483531	0.691479	1.03255	1.16974	1.69606	1.11457	1.0401	1.54439	0.939455	0.929053	1.13814	1.94528	1.47741	1.22985	1.48407	1.77898	2.73882	0.76584	2.44368	2.09467	2.30356	2.45399	1.94993	1.84662	1.81239	1.23122
74	0.264744	0.361242	0.297073	0.271636	0.434033	0.523186	0.386067	0.41796	0.51585	0.4308	0.36363	0.570548	0.338109	0.28928	0.266699	0.753327	0.405264	0.420764	0.404035	0.593902	0.354938	0.388532	0.35893	0.320391	0.27169	0.288679	0.340451	0.293603
75	0.595726	0.554862	0.42554	0.589468	0.500156	0.459223	0.905427	0.592964	0.552459	0.599881	0.410397	0.606317	0.564483	0.670945	0.554456	0.524479	1.00016	0.877532	1.26785	1.13854	1.01558	0.905411	0.864249	0.832526	0.668068	0.748895	0.809899	0.446751
76	0.686336	0.871243	0.583309	0.802758	0.903351	0.932505	2.0473	1.51559	2.0789	1.93425	0.989815	1.78187	1.25993	0.969718	1.55385	1.46724	1.51149	2.11085	2.63209	2.2278	2.64465	3.27525	2.3419	2.22939	2.40933	2.07286	2.07119	1.76682
77	2.23772	1.74817	3.12152	5.04624	2.36423	0.6734	1.98715	2.25362	1.23905	1.79229	1.51511	1.40679	1.28889	1.1121	0.819565													
78	1.45925	1.45041	1.68833	1.8976	2.49094	1.54498	2.4646	2.51025	3.05889	3.33915	2.92745	3.38078	3.16463	4.18064	3.29675	3.48893	3.07454	3.9935	3.98869	3.55241	5.40393	4.23601	4.19703	4.23415	3.53381	4.48331	4.99495	2.80714
79	0.92352	0.901173	0.605845	0.596205	1.05613	0.62681	0.958824	1.15039	1.25074	0.877176	1.18025	1.11249	1.20513	1.08426	1.10766	1.1453	1.77985	1.288	1.02021	1.27252	1.37621	1.2378	1.09922	1.19251	1.08002	1.18837	0.996975	0.664066
80	5.99482	5.68863	4.15294	6.9573	6.81606	5.5889	7.75033	10.2657	12.273	8.95667	7.47163	9.70923	10.3417	11.5203	11.9023	10.4267	13.5197	16.1673	16.0347	15.246	17.6071	20.0828	14.8798	15.2903	11.7176	12.1627	19.0302	8.54334
81	1.13551	1.28372	1.49682	1.12367	0.917278	2.61079	2.67629	0.661961	0.4789	0.712117	0.873309	1.11153	1.47594	2.19021	1.33842	1.0363	1.25474	1.20579	1.1608									
82	0.447226	0.284415	0.432468	0.376999	0.563374	0.586296	0.466025	0.51368	0.753175	0.759455	0.647236	0.555483	0.81031	0.600735	0.828294	0.631332	0.8615	0.731996	0.627412	0.6035								
83	1.13072	1.08334	1.03718	0.856807	1.14218	0.732964	1.18823	1.17527	1.3113	1.23177	0.657811	0.998742	0.902792	0.964593	1.036	0.741581	1.43988	1.05202	1.44323	1.41071	1.2664	1.15264	1.2452	1.21813	0.617829	0.436749	0.724725	
84	0.303157	0.233723	0.307273	0.201532	0.338767	0.307177	0.33923	0.230922	0.374728	0.284272	0.235764	0.429255	0.292605	0.252529	0.292726	0.226157	0.289837	0.164398	0.206961	0.216446								
85	0.358374	0.305144	0.548519	0.371249	0.36877	0.360532	0.457544	0.309786	0.462496	0.3974	0.513376	0.4585	1.6856	1.04292	0.787062	0.792935	0.770125	0.818401	0.414489	0.375974	0.527343	0.264812						
86	0.652369	0.4957	0.527777	0.576354	1.10613	0.702765	1.18413	1.21938	0.888415	0.491336	0.764544	0.650335	0.575671	0.591416	0.471781	0.411838	0.559878	0.572984	0.766424	0.677734	0.753805	0.841458	0.779436	0.859387	0.560411	0.467466		
87	2.69182	2.71037	2.22891	2.00114	1.6075	2.41218	1.72369	1.02934	2.13249	2.62899	1.51865	1.37759	2.39521															
88	0.643216	0.70421	0.587854	0.584631	1.0674	1.02089	1.45711	0.679085	0.641442	0.987586	0.512514	0.890396	0.697005	2.17673	1.49707													
89	2.47003	3.06294	1.90297	4.46227	4.1526	0.655383	3.35007	1.07036	2.82473	0.802744																		
90	0.486843	0.414584	0.409027	0.196184	0.562572	0.833141	0.739153	0.488745	2.61659	2.35293	2.60215	2.08613	0.974808	1.37219	1.5402	1.24355	0.95139	0.889996	0.918111	0.440775	0.271048	0.383723	0.270096					
91	0.831607	0.607746	0.567409	0.662299	0.79092	0.644542	0.865902	0.729954	1.06109	1.12077	0.928804	1.14482	0.480841	0.513623	0.421753	0.385392	0.971536	0.827135	1.41594	0.997297	1.09523	1.05085	0.931805	0.816441	0.546161	0.489287	0.592024	0.265965
92	0.354351	0.817194	0.63917	0.192583	0.613236	0.60269	0.459153	0.937909	0.491161	0.395408	0.422891	0.614709	0.669922	0.506299	0.499502													
93	0.639107	0.336744	0.309791	0.277043	0.461596	0.395775	0.393083	0.507745	0.521718	0.54777	0.342521	0.50229	0.266612	0.275848	0.232419	0.254199	0.798405	0.705019	0.556701	0.54553	0.669915	0.464961	0.481171	0.513471				
94	0.41816	0.346038	0.424349	0.54385	0.444084	0.350232	0.832577	0.554045	0.887365	0.944713	0.343315	0.33572	0.37555	0.498264	0.533236	1.05041	0.727077	0.639276	0.914939	0.638466	0.753142	0.61515	0.592553	0.461749	0.588816	0.340771	0.342675	
95	0.528172	0.481236	0.321013	0.366629	0.687001	0.63286	0.492757	0.353552	0.735596																			
96	0.775724	0.684894	0.702268	0.557711	0.455203	0.608078	0.877035	0.563689																				
97	1.07316	1.16728	0.896673	1.38899	0.97121	1.30931	1.62439	2.20679	2.44488	1.63512	0.971532	1.76842	0.983803	0.729003	1.23948	0.964434	1.42959	1.56124	1.86927	1.70036	1.68537	2.59836	1.79134	1.94014	1.1586	0.957544	0.717757	
98	2.40524	3.04733	4.62029	4.18809	0.39555	2.75301	3.02719	1.85867	2.55138	2.34174	1.82737	4.3759	3.25419	4.49437	4.28972	4.07055	2.9654	2.62861	3.90717									
99	0.703494	1.14725	1.39773	1.59915	2.82585	1.97188	3.91944	2.10979	0.390425	0.492005	2.78252	1.85985	0.458883	1.86987	1.25951	2.29725	1.92007	1.42351										
100	1.26218	1.39092	0.921599	1.2611	1.58195	1.11514	0.978983	1.53839	1.71287	1.43826	1.06651	1.71559	1.50025	1.84568	1.52445	1.49451	2.23956	2.24657	3.04373	2.94507	2.50096	2.99877	2.34927	2.03288	1.56758	2.08895	2.96018	1.35926
101	0.764299	0.61061	0.795049	0.764252	0.743287	0.6959	1.12584	0.555477	0.584245	0.436746	0.45742	0.679746	0.961386	0.806081	0.43011	0.591355	0.737027	0.379417										
102	0.27686	0.556198	1.18104	0.854178	0.333075	0.839754	0.738053	0.359114	0.49344	0.71012	0.729238	0.970638																
103	0.234433	0.132228	0.175907	0.607022	0.310117	0.143361	0.312222	0.256839	0.132141	0.220582	0.23414	0.364166	0.673131	0.351413	0.206049	0.377507	0.425199	0.423701										
